spend,date,supplier,region,relatedBOM_name,quantity,spend_type,franchise,material_category,subcategory,warehouse
36954.15,2022-10-21,C,Australia,two,46,Capital,century,decision,help,"2140 Sierra Glen Jonestown, OK 36504"
97910.53,2023-01-27,C,Turkey,wear,76,Direct,finally,gas,assume,Unit 8437 Box 3930 DPO AA 46386
67262.60,2022-01-11,A,Tanzania,summer,14,Capital,near,people,Mr,"458 Sara Forks North Rhondaton, MN 02345"
41135.28,2021-11-29,C,Congo,blood,33,Indirect,either,attention,sense,"1688 Allen Orchard Apt. 027 North Rachelchester, NH 70437"
46497.94,2023-01-28,C,Micronesia,best,38,Indirect,game,call,assume,"84055 Elizabeth Rapid Lake Angelicafort, PR 52401"
56682.91,2021-06-13,B,Chile,environmental,89,Capital,toward,claim,smile,"053 Murray Forges East Christine, VT 51312"
42779.18,2022-07-06,B,Venezuela,event,10,Indirect,you,tree,never,USS Murphy FPO AA 96938
35169.18,2021-10-21,C,Oman,whom,35,Indirect,project,back,note,"4764 Bennett Inlet Suite 822 Madisonstad, MI 63350"
47995.53,2020-10-01,A,Fiji,loss,87,Direct,choose,behind,expect,"72476 Christopher Estates Apt. 776 Lopezberg, NH 86478"
62946.55,2021-07-27,C,French Guiana,adult,62,Indirect,kind,safe,gun,"82049 Frances Square Suite 891 Barronmouth, MS 28254"
5490.78,2022-06-09,C,Russian Federation,southern,78,Capital,rise,race,sign,"131 Jessica Loop West Marilynstad, MA 85039"
13002.02,2022-08-06,A,New Caledonia,simple,98,Direct,check,take,prepare,"595 Hill Prairie Apt. 629 Nicholashaven, IL 22942"
18360.48,2022-06-17,C,Iceland,particularly,25,Capital,receive,goal,too,"76068 Tucker Ports Apt. 357 Villegashaven, SC 73615"
41693.81,2020-04-27,D,Lebanon,product,20,Direct,street,green,other,"365 Morris Shoal Kevintown, AR 32837"
64090.25,2022-02-18,A,Bermuda,give,96,Direct,skin,must,loss,Unit 3224 Box 3059 DPO AP 75416
38197.65,2022-03-28,D,Reunion,cultural,66,Direct,enough,glass,kid,"74670 Baker Square Suite 689 East Megan, VA 49457"
17680.17,2023-09-28,A,Congo,discover,15,Indirect,partner,seat,deep,Unit 4588 Box 8508 DPO AE 20103
48074.15,2023-07-03,E,Estonia,oil,99,Indirect,music,which,bar,"PSC 3959, Box 5623 APO AA 88903"
80112.24,2021-09-16,B,Korea,media,23,Capital,set,land,religious,Unit 7550 Box 6179 DPO AP 82924
43815.56,2021-05-29,D,Saint Kitts and Nevis,reach,75,Direct,physical,agree,alone,"4713 Amanda Square Apt. 693 Alexland, MA 79592"
84348.77,2023-02-15,A,New Zealand,entire,42,Direct,lose,safe,stage,"PSC 0161, Box 9045 APO AP 24007"
1716.19,2023-05-23,B,Dominica,none,24,Capital,for,range,animal,"61048 Anthony Mission Apt. 359 New Christopher, OK 29957"
34966.98,2022-02-06,D,Sao Tome and Principe,sometimes,36,Indirect,particular,modern,need,"281 Murray Shores Kellyport, FL 40304"
4771.48,2020-09-05,A,Congo,coach,77,Indirect,form,often,too,Unit 0765 Box 5574 DPO AE 12156
42209.01,2022-10-14,D,Mauritania,way,19,Capital,kind,court,in,"6673 Derek Prairie Michaelaburgh, VA 79407"
21224.90,2021-11-25,E,Saint Lucia,strong,31,Indirect,to,trip,arm,"46293 Erika Neck Suite 033 Camposbury, WA 66050"
10678.45,2022-03-21,C,Thailand,place,37,Indirect,radio,hear,affect,"747 Stephen Lodge Suite 158 North Barbara, NH 98589"
66235.06,2023-07-01,D,Israel,fly,66,Indirect,table,option,act,"545 Anthony Camp Port Stephaniechester, AR 42380"
12267.31,2021-08-07,A,Micronesia,yet,18,Capital,way,wonder,night,"5081 Faulkner Cove North Jesusberg, NC 16530"
76200.49,2022-10-27,D,Dominica,behind,56,Indirect,free,money,actually,"62715 Christopher Expressway Apt. 110 New Tonyafurt, AR 52456"
83109.49,2023-10-04,D,United States Virgin Islands,second,35,Capital,floor,specific,street,"043 Ryan Village West Pamela, MA 56308"
50387.43,2023-04-13,A,Mozambique,ten,9,Indirect,reveal,health,news,"86367 Robert Neck Suite 107 Lake Rhonda, DE 33443"
37635.29,2020-10-04,B,Saint Vincent and the Grenadines,very,87,Capital,make,feel,store,"2267 Sanchez Village Lake Robertchester, NJ 79058"
46754.31,2021-03-16,C,Guyana,fire,28,Capital,wind,south,tax,"080 Bell Grove Apt. 689 Shariland, GA 16383"
68614.22,2020-01-13,A,Austria,again,25,Indirect,cold,land,that,"981 Henderson Field North Donald, AL 55158"
1507.12,2023-05-03,E,Saint Barthelemy,century,52,Direct,wear,top,behavior,"7910 Shields Unions Apt. 774 South Lori, NV 96515"
97950.44,2023-06-03,C,Bolivia,perhaps,85,Indirect,memory,nation,weight,"71336 Amanda Causeway Apt. 924 South Erin, UT 93687"
53182.96,2022-07-04,D,Timor-Leste,hair,100,Indirect,color,within,still,"2838 Dennis Passage Apt. 200 Lake Jamesview, MT 63386"
76899.05,2023-06-25,E,Equatorial Guinea,wish,25,Capital,shake,development,single,"4078 Diana Roads Apt. 789 Lake Amyview, SC 52327"
9956.35,2023-07-29,C,Antarctica (the territory South of 60 deg S),radio,34,Indirect,fund,trip,real,Unit 6693 Box 2555 DPO AE 88063
55556.82,2021-12-13,A,Tuvalu,teacher,70,Capital,easy,all,small,"17992 Brandy Shores Suite 580 New Jamesburgh, MO 17547"
64394.07,2022-06-28,B,Malta,good,84,Direct,art,world,keep,"93000 Mendez Stream Rickland, AK 65779"
55374.92,2023-12-27,E,Saint Martin,land,27,Capital,knowledge,environment,enjoy,"898 Charles Gateway Christineview, NH 17529"
50155.82,2021-03-05,A,Netherlands,notice,36,Direct,next,government,simple,"92461 Rice Street Suite 554 East Phyllis, NY 48517"
64177.15,2023-04-09,C,French Guiana,member,46,Indirect,alone,American,it,"45699 Cody Drive West Yolandatown, ID 55708"
91067.63,2021-04-04,B,Gambia,near,92,Capital,law,sing,seem,"044 Downs Station Suite 200 Danielberg, WI 74518"
59698.33,2023-06-11,B,Somalia,social,23,Direct,measure,employee,management,"88887 Stacey Light West Jonathanfurt, ND 30889"
23690.89,2022-02-13,A,Libyan Arab Jamahiriya,very,54,Capital,sport,history,forget,"048 Doris Junction Kennethview, IN 88276"
41622.97,2022-10-18,E,Argentina,success,18,Direct,drive,article,go,"94581 Lori Gardens Phillipsmouth, GU 67481"
53050.82,2023-08-15,B,Djibouti,age,63,Capital,price,capital,where,"PSC 1159, Box 2542 APO AP 71175"
88407.35,2020-03-07,B,Saint Lucia,car,55,Capital,might,difficult,though,"38410 Henson View Suite 762 Chadfurt, FM 01722"
36437.57,2023-02-02,E,Isle of Man,why,36,Capital,member,political,effect,"06580 David Walks Davidhaven, NM 93851"
15903.34,2023-06-11,E,Philippines,trip,46,Direct,forget,news,garden,"3365 Reginald Trafficway Suite 033 East Williamchester, PR 03639"
20393.80,2023-10-03,D,Guam,fight,35,Direct,look,song,rock,"787 Matthew Parkway Suite 102 Lake Melissaside, WV 21816"
70072.63,2022-09-18,E,Nauru,rest,4,Direct,woman,sit,sport,"78960 Walter Camp Suite 405 Jenniferstad, CO 79693"
61785.84,2020-09-17,D,Benin,class,93,Direct,company,door,chair,Unit 8752 Box 9289 DPO AP 60978
71837.55,2023-06-07,A,Netherlands,amount,14,Direct,couple,central,single,"1224 Smith Station Port Richard, WY 91186"
17080.04,2021-02-14,C,Papua New Guinea,news,68,Capital,easy,beat,begin,"87108 Simpson Key Apt. 006 Mathewfort, IL 81223"
72.39,2020-05-23,B,Lesotho,character,79,Indirect,mean,fly,same,"6043 Debra Radial North Williamport, ID 51410"
22449.95,2023-02-10,A,Madagascar,child,71,Indirect,hand,finish,development,"14055 Griffith Mountains South Dennischester, KY 24123"
14643.86,2020-08-31,B,Cuba,return,44,Capital,at,maybe,behind,"4682 Collier Pass Lauraport, OH 57488"
17402.26,2020-12-05,E,Norway,recently,58,Direct,room,plan,author,"4440 Waller Freeway Warrenville, CO 56658"
94481.04,2020-08-17,A,Mauritius,structure,22,Capital,identify,indeed,system,"23955 Susan Cliffs Shirleyfurt, MS 50022"
36386.39,2020-02-16,A,Mauritania,exactly,82,Direct,avoid,professor,building,"5112 Shawn Gardens East Amyfurt, TN 95597"
78359.25,2020-05-14,A,Congo,research,92,Direct,value,city,within,"907 Joshua Route Suite 009 East Frederick, DE 08656"
48175.57,2021-11-27,E,Equatorial Guinea,top,33,Capital,blue,produce,senior,"57017 Case Summit Apt. 436 Laurenview, MS 43169"
64545.73,2021-10-28,B,Finland,let,47,Capital,industry,maintain,lawyer,"8975 Bobby Fort South Peter, MT 56473"
71250.76,2020-04-13,C,Bahamas,morning,66,Capital,huge,involve,police,"31571 Edwards Stravenue Apt. 554 Ashleymouth, NY 51783"
92142.58,2020-03-14,A,China,several,19,Capital,car,eat,sense,"74026 Cruz Land North Christine, FL 79139"
73260.14,2020-11-28,E,Poland,our,90,Direct,drug,prevent,listen,"9851 Day Keys Apt. 429 West Jordanburgh, OK 99586"
